"국가별",2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"국가별",국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),장래인구 (1000명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%)
"덴마크",327.1,58508,0.2,106102,91325,5611,7.8,105.2,-,92.3,343.6,61191,0.9,110470,97257,5638,7.4,106.1,-,94.6,353.0,62549,1.6,110739,99032,5664,6.9,106.7,-,96.0,302.7,53255,2.3,94567,85211,5689,6.3,107.1,-,96.3,313.1,54664,3.2,94731,84430,5711,6.0,107.4,-,97.0,332.1,57610,2.8,101573,92251,5732,5.8,108.6,-,97.1,356.9,61599,2.2,108524,101666,5752,5.1,109.5,-,97.3,350.1,60213,2.8,109989,97209,5772,5.0,110.3,-,98.0,355.2,60909,-2.7,107227,96800,5792,5.6,110.8,-,96.5
"에스토니아",23.2,17534,3.1,16087,18092,1323,10.0,109.1,-,78.4,25.3,19174,1.3,16316,18459,1319,8.6,112.1,-,80.0,26.8,20367,3.0,16043,18296,1316,7.4,112.0,-,84.2,23.0,17522,1.8,12836,14521,1315,6.2,111.5,-,88.4,24.3,18437,3.2,13171,14959,1317,6.8,111.6,-,87.2,26.9,20408,5.5,14558,16674,1319,5.8,115.5,-,88.1,30.6,23159,4.4,17017,19140,1323,5.4,119.4,-,89.4,31.5,23718,5.0,16112,18022,1326,4.5,122.1,-,90.2,31.0,23312,-2.9,16375,17335,1327,6.8,121.6,-,89.1
"핀란드",258.3,47711,-1.4,73116,76560,5415,7.7,106.3,3759,89.9,271.3,49878,-0.9,74445,77589,5439,8.2,107.9,3517,91.5,274.5,50260,-0.4,74335,76767,5461,8.7,109.0,3807,86.5,234.4,42785,0.5,59740,60437,5481,9.4,108.8,3988,86.4,240.6,43784,2.8,57419,60848,5498,8.8,109.2,4101,87.7,255.0,46297,3.2,67478,70596,5511,8.6,110.0,4003,87.5,275.8,50013,1.3,75215,78635,5523,7.4,111.2,4146,88.9,269.0,48712,1.3,72839,73718,5532,6.7,112.3,3473,89.6,271.2,49041,-2.8,65668,68085,5541,7.8,112.7,-,92.2
"프랑스",2683.8,40875,0.3,559330,668453,63564,9.4,104.1,15609,81.4,2811.1,42593,0.6,570929,676639,63894,9.9,105.0,15685,81.9,2852.2,43011,1.0,571322,670282,64194,10.3,105.5,16143,83.8,2438.2,36638,1.1,496183,563561,64453,10.4,105.6,14984,78.0,2471.3,37037,1.1,488931,559214,64668,10.1,105.8,14413,79.3,2588.7,38685,2.3,525890,612136,64843,9.4,106.9,15505,80.5,2786.5,41526,1.8,570735,667876,64991,9.0,108.8,15387,82.0,2715.5,40380,1.5,559150,647361,65130,8.4,110.0,14450,83.3,2603.0,38625,-8.1,478333,572028,65274,8.0,110.6,-,-
"독일",3527.3,43858,0.4,1401668,1155552,80973,5.4,104.1,42661,82.3,3732.7,46286,0.4,1444913,1181116,81174,5.2,105.7,42645,84.2,3883.9,47960,2.2,1494234,1207209,81450,5.0,106.7,42943,86.2,3356.2,41087,1.5,1326206,1051132,81787,4.6,107.2,42676,87.6,3467.5,42108,2.2,1334343,1055316,82194,4.1,107.7,42080,84.2,3673.5,44443,2.6,1448178,1162898,82658,3.8,109.4,43297,84.4,3961.8,47787,1.3,1560537,1284352,83124,3.4,111.2,42435,87.0,3861.1,46468,0.6,1489430,1233994,83517,3.1,112.9,39667,88.1,3806.1,45724,-4.9,1380378,1170726,83784,3.8,113.4,-,89.8
"그리스",242.1,21915,-7.1,35324,61686,10781,24.4,104.9,1247,55.1,238.5,21749,-2.7,36140,60859,10741,27.5,103.9,1030,59.9,235.3,21602,0.7,35961,61984,10701,26.5,102.6,1022,63.2,195.3,18050,-0.4,28554,46786,10660,24.9,100.8,910,66.8,192.7,17885,-0.5,28151,46810,10615,23.5,99.9,1158,69.1,199.6,18562,1.3,32629,53496,10569,21.5,101.1,1359,69.9,212.1,19766,1.6,39501,63877,10522,19.3,101.7,1467,72.2,205.3,19151,1.9,37911,62520,10473,17.3,101.9,1350,75.7,189.4,17676,-8.2,35170,55695,10423,16.3,100.7,-,78.1
"헝가리",128.5,12951,-1.4,102879,94325,9864,11.0,109.8,1542,70.6,135.4,13688,1.9,107858,99124,9834,10.2,111.7,883,72.6,140.8,14267,4.2,112204,103863,9805,7.7,111.5,1152,75.7,125.1,12707,3.8,100287,90751,9778,6.8,111.4,1675,72.8,128.5,13091,2.1,102981,92181,9753,5.1,111.8,1274,79.3,143.0,14606,4.3,113675,104581,9730,4.2,114.5,1901,76.8,160.4,16411,5.4,123815,117217,9708,3.7,117.7,1989,76.1,163.5,16733,4.6,122059,116516,9685,3.4,121.6,1769,80.4,155.0,15899,-5.0,119412,110442,9660,4.3,125.7,-,84.8
"아이슬란드",14.8,45996,1.1,5063,4771,326,6.0,109.4,-,96.2,16.1,49805,4.6,5001,5020,327,5.4,113.6,-,96.5,17.9,54577,1.7,5091,5379,329,4.9,116.0,-,98.2,17.5,52952,4.4,4768,5310,330,4.0,117.8,-,98.2,20.8,61988,6.3,4490,5696,332,3.0,119.8,-,98.2,24.7,72010,4.2,4904,6972,334,2.7,122.0,-,98.3,26.2,74348,4.7,5612,7688,337,2.7,125.2,-,99.0,24.8,68883,2.6,5238,6616,339,3.5,129.0,-,99.0,21.7,59261,-6.6,4594,5707,341,5.5,132.7,-,-
"아일랜드",225.0,48915,0.1,118794,70576,4608,15.5,104.3,-,76.9,238.5,51577,1.2,116731,73445,4615,13.7,104.8,-,78.2,258.9,55587,8.6,121059,82017,4627,11.9,105.0,-,83.5,291.5,62000,25.2,123361,76977,4652,9.9,104.7,-,83.5,299.6,62994,2.0,130863,81185,4696,8.4,104.7,-,83.5,338.5,70413,9.1,137358,93197,4753,6.7,105.1,-,84.1,386.0,79298,8.5,164794,107669,4819,5.7,105.6,-,87.0,398.6,80779,5.6,169585,100758,4882,5.0,106.6,-,87.0,418.6,83813,3.4,178734,97969,4938,5.6,106.2,-,92.0
"이탈리아",2087.1,35054,-3.0,502407,490647,59879,10.7,105.9,27252,55.8,2141.3,35550,-1.8,520551,480928,60167,12.2,107.2,24093,58.5,2159.1,35518,-0.0,530320,474252,60410,12.7,107.5,23714,55.6,1835.9,30230,0.8,456084,410091,60578,11.9,107.5,21958,58.1,1875.8,30940,1.3,462388,408241,60663,11.7,107.4,23312,61.3,1957.0,32327,1.7,511753,457388,60674,11.2,108.7,24007,63.1,2091.1,34609,0.9,550269,503929,60627,10.6,110.0,24496,74.4,2004.9,33567,0.3,539708,475979,60550,10.0,110.6,23190,76.1,1886.4,31676,-8.9,495092,421828,60462,9.2,110.5,-,-
